date,EUR/USD
2024-06-03,1.0908336136
2024-06-04,1.0883404434
2024-06-05,1.0876657315
2024-06-06,1.0893006809
2024-06-07,1.0808822837
2024-06-08,1.0806603876
2024-06-09,1.0779228988
2024-06-10,1.0763334067
2024-06-11,1.0741137341
2024-06-12,1.0814901587
2024-06-13,1.0738829641
2024-06-14,1.0708585119
2024-06-15,1.0708585543
2024-06-16,1.0700221225
2024-06-17,1.07405606
2024-06-18,1.0740906415
2024-06-19,1.0750027729
2024-06-20,1.0708012143
2024-06-21,1.0698503583
2024-06-22,1.0702396871
2024-06-23,1.068649883
2024-06-24,1.073733147
2024-06-25,1.0709503581
2024-06-26,1.0679422957
2024-06-27,1.0709732127
2024-06-28,1.072397379
2024-06-29,1.0719835707
2024-06-30,1.0736869994
2024-07-01,1.0738137929
2024-07-02,1.0750952156
2024-07-03,1.0794704752
2024-07-04,1.0815369038
2024-07-05,1.0841870041
2024-07-06,1.0841869618
2024-07-07,1.0829776054
2024-07-08,1.0833413205
2024-07-09,1.0813966233
2024-07-10,1.0832474459
